text,entity,label
北京市海淀区北清路四维图新大厦,北京市 海淀区 北清路 四维图新大厦,PROVINCE AREA ROAD DASHA
上海市虹口区大连路817号,上海市 虹口区 大连路 817号,PROVINCE AREA ROAD NUM
上海市黄浦区兴业路150-152号,上海市 黄浦区 兴业路 150-152号,PROVINCE AREA ROAD NUM
上海市浦东新区东方路1988号华南大厦,上海市 浦东新区 东方路 1988号 华南大厦,PROVINCE AREA ROAD NUM DASHA
上海市静安区南京西路1376号5楼562,上海市 静安区 南京西路 1376号,PROVINCE AREA ROAD NUM
上海市浦东新区花园石桥路66号东亚银行金融大厦1-2层,上海市 浦东新区 花园 石桥路 66号 东亚银行金融大厦 1-2层,PROVINCE AREA GARDEN ROAD NUM DASHA CENG
北京市昌平区沙河镇天利家园D栋609,北京市 昌平区 沙河镇 天利家园 D栋 609,PROVINCE AREA TOWN GARDEN UNIT NUM
北京市东城区朝阳门内南小街9号,北京市 东城区 朝阳门内南小街 9号,PROVINCE AREA STREET NUM
北京市东城区春雨胡同一巷,北京市 东城区 春雨胡同 一巷,PROVINCE AREA HUTONG XIANG
上海市松江区新乐路48号,上海市 松江区 新乐路 48号,PROVINCE AREA ROAD NUM
上海市青浦区徐华路78-480,上海市 青浦区 徐华路 78-480,PROVINCE AREA ROAD NUM
上海市青浦区沪青平公路2702-2748,上海市 青浦区 沪青平公路 2702-2748,PROVINCE AREA ROAD NUM
上海市青浦区新凤中路1718-1860,上海市 青浦区 新凤中路 1718-1860,PROVINCE AREA ROAD NUM
上海市青浦区外青松公路3008,上海市 青浦区 外青松公路 3008,PROVINCE AREA ROAD NUM
上海市青浦区盈朱路289,上海市 青浦区 盈朱路 289,PROVINCE AREA ROAD NUM
浙江省温州市瓯海区新塘路,浙江省 温州市 瓯海区 新塘路,PROVINCE CITY AREA ROAD
广东省梅州市兴宁市叶塘镇田心村,广东省 梅州市 兴宁市 叶塘镇 田心村,PROVINCE CITY AREA TOWN VILLAGE
山西省朔州市右玉县右卫镇姬家沟村,山西省 朔州市 右玉县 右卫镇 姬家沟村,PROVINCE CITY AREA TOWN VILLAGE
河北省保定市曲阳县孝木乡中孝木村,河北省 保定市 曲阳县 孝木乡 中孝木村,PROVINCE CITY AREA TOWN VILLAGE
湖南省益阳市安化县东坪镇建设东路,湖南省 益阳市 安化县 东坪镇 建设东路,PROVINCE CITY AREA TOWN ROAD
湖北省武汉市江汉区竹叶山三村电务社会宿舍,湖北省 武汉市 江汉区 竹叶山三村 电务社会宿舍,PROVINCE CITY AREA VILLAGE SUSHE
重庆市永川区双竹镇石梯坎村,重庆市 永川区 双竹镇 石梯坎村,PROVINCE AREA TOWN VILLAGE
广东省揭阳市揭西县龙潭镇龙东长江岭,广东省 揭阳市 揭西县 龙潭镇 龙东长江岭,PROVINCE CITY AREA TOWN ZU
四川省巴中市巴州区福星乡阳岭村,四川省 巴中市 巴州区 福星乡 阳岭村,PROVINCE CITY AREA TOWN VILLAGE
云南省玉溪市华宁县宁州镇华盖山,云南省 玉溪市 华宁县 宁州镇,PROVINCE CITY AREA TOWN
山西省临汾市蒲县黑龙关镇前段家沟,山西省 临汾市 蒲县 黑龙关镇 前段家沟,PROVINCE CITY AREA TOWN ZU
安徽省合肥市肥东县西苑路红灯巷,安徽省 合肥市 肥东县 西苑路 红灯巷,PROVINCE CITY AREA ROAD XIANG
广东省湛江市雷州市附城镇殿山村委会殿山村,广东省 湛江市 雷州市 附城镇 殿山村委会殿山村,PROVINCE CITY AREA TOWN VILLAGE
广东省肇庆市怀集县桥头镇新兴村,广东省 肇庆市 怀集县 桥头镇 新兴村,PROVINCE CITY AREA TOWN VILLAGE
浙江省温州市鹿城区工商局,浙江省 温州市 鹿城区 工商局,PROVINCE CITY AREA JU
河南省濮阳市范县杨集乡付马厂,河南省 濮阳市 范县 杨集乡,PROVINCE CITY AREA TOWN
广东省湛江市霞山区海昌一横路,广东省 湛江市 霞山区 海昌一横路,PROVINCE CITY AREA ROAD
辽宁省大连市瓦房店市杨家乡杨家村,辽宁省 大连市 瓦房店市 杨家乡 杨家村,PROVINCE CITY AREA TOWN VILLAGE
河北省石家庄市平山县下槐镇水渣沟,河北省 石家庄市 平山县 下槐镇 水渣沟,PROVINCE CITY AREA TOWN ZU
